turn,Q_full_retention,Q_selector_O1_leakage,Q_theory_c_over_t
48,0.2940311673037342,0.9082652134423251,0.4166666666666667
49,0.28977108084613157,0.9082652134423251,0.40816326530612246
50,0.2856326763781777,0.9082652134423251,0.4
51,0.28161081385525205,0.9082652134423251,0.39215686274509803
52,0.27770063871146905,0.9082652134423251,0.38461538461538464
53,0.27389756231169543,0.9082652134423251,0.37735849056603776
54,0.2701972439881113,0.9082652134423251,0.37037037037037035
55,0.2665955745134631,0.9082652134423251,0.36363636363636365
56,0.26308866087871613,0.9082652134423251,0.35714285714285715
57,0.25967281225655675,0.9082652134423251,0.3508771929824561
58,0.25634452704434757,0.9082652134423251,0.3448275862068966
59,0.2531004808909137,0.9082652134423251,0.3389830508474576
60,0.2499375156210947,0.9082652134423251,0.3333333333333333
61,0.2468526289804986,0.9082652134423251,0.32786885245901637
62,0.24384296513045597,0.9082652134423251,0.3225806451612903
63,0.24090580582992047,0.9082652134423251,0.31746031746031744
64,0.238038562247084,0.9082652134423251,0.3125
65,0.23523876734885907,0.9082652134423251,0.3076923076923077
66,0.2325040688212043,0.9082652134423251,0.30303030303030304
67,0.22983222247759136,0.9082652134423251,0.29850746268656714
68,0.2272210861167916,0.9082652134423251,0.29411764705882354
69,0.22466861379465286,0.9082652134423251,0.2898550724637681
70,0.2221728504776716,0.9082652134423251,0.2857142857142857
71,0.21973192704900016,0.9082652134423251,0.28169014084507044
72,0.21734405564007825,0.9082652134423251,0.2777777777777778
73,0.21500752526338418,0.9082652134423251,0.273972602739726
74,0.21272069772388852,0.9082652134423251,0.2702702702702703
75,0.21048200378867604,0.9082652134423251,0.26666666666666666
76,0.20828993959591746,0.9082652134423251,0.2631578947368421
77,0.20614306328592044,0.9082652134423251,0.2597402597402597
78,0.2040399918384003,0.9082652134423251,0.2564102564102564
79,0.20197939810139365,0.9082652134423251,0.25316455696202533
80,0.1999600079984003,0.9082652134423251,0.25
81,0.19798059790140565,0.9082652134423251,0.24691358024691357
82,0.1960399921584003,0.9082652134423251,0.24390243902439024
83,0.1941370607649,0.9082652134423251,0.24096385542168675
84,0.19227071716977504,0.9082652134423251,0.23809523809523808
85,0.19043991620643685,0.9082652134423251,0.23529411764705882
86,0.18864365214110546,0.9082652134423251,0.23255813953488372
87,0.18688095683049893,0.9082652134423251,0.22988505747126436
88,0.1851508979818552,0.9082652134423251,0.22727272727272727
89,0.183452577508714,0.9082652134423251,0.2247191011235955
90,0.18178512997636792,0.9082652134423251,0.2222222222222222
91,0.18014772113132768,0.9082652134423251,0.21978021978021978
92,0.17853954650955184,0.9082652134423251,0.21739130434782608
93,0.17695983011856306,0.9082652134423251,0.21505376344086022
94,0.1754078231889142,0.9082652134423251,0.2127659574468085
95,0.1738828029907842,0.9082652134423251,0.21052631578947367
96,0.1723840717117738,0.9082652134423251,0.20833333333333334
97,0.1709109553922406,0.9082652134423251,0.20618556701030927
